127.0.0.1 - - [12/May/2023:14:38:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2023:14:39:01 +0530] "GET /web_app_2/NewFile.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [12/May/2023:14:39:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/May/2023:14:39:51 +0530] "GET /web_app_2/NewFile.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [12/May/2023:14:42:49 +0530] "GET /web_app_2/NewFile1.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [12/May/2023:15:30:25 +0530] "GET /web_app_2/NewFile1.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [12/May/2023:15:30:42 +0530] "GET /web_app_2/NewFile1.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/May/2023:15:55:01 +0530] "GET /web_app_2/NewFile2.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [12/May/2023:16:15:13 +0530] "GET /web_app_2/NewFile.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [12/May/2023:16:15:55 +0530] "GET /web_app_2/NewFile1.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [12/May/2023:16:21:40 +0530] "GET /web_app_2/NewFile2.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [12/May/2023:16:22:54 +0530] "GET /web_app_2/NewFile2.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [12/May/2023:16:32:57 +0530] "GET /web_app_2/NewFile3.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [12/May/2023:16:33:46 +0530] "GET /web_app_2/NewFile3.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [12/May/2023:16:39:13 +0530] "GET /web_app_2/NewFile3.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [12/May/2023:16:39:37 +0530] "GET /web_app_2/NewFile3.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [12/May/2023:16:39:51 +0530] "GET /web_app_2/NewFile3.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [12/May/2023:16:40:18 +0530] "GET /web_app_2/NewFile3.jsp HTTP/1.1" 200 248
